tenant_id,objectclas,objectid,changenr,username,udate,utime,tabname,fname,value_old,value_new,last_change_ts,raw_event_id
1,KRED,V101355,2464925319,AP_CLERK_01,2025-11-21,22:50:00,LFBK,BANKN,BANK-2089273252,BANK-6604483039,2025-11-21T22:50:00+09:00,
1,KRED,V100353,7491366925,ADMIN_FI,2025-04-04,04:57:00,LFB1,SPERR,X,,2025-04-04T04:57:00+09:00,
1,KRED,V100353,7491366925,ADMIN_FI,2025-04-04,04:57:00,LFB1,ZTERM,Z045,Z002,2025-04-04T04:57:00+09:00,
1,KRED,V100191,6423991869,USER_02,2025-07-31,14:54:00,LFA1,ZTERM,Z002,Z001,2025-07-31T14:54:00+09:00,
1,KRED,V100191,6423991869,USER_02,2025-07-31,14:54:00,LFA1,AKONT,210000,210010,2025-07-31T14:54:00+09:00,
1,KRED,V100191,6423991869,USER_02,2025-07-31,14:54:00,LFA1,STRAS,Old Address,New Address 219,2025-07-31T14:54:00+09:00,
1,KRED,V101419,9961388932,AP_CLERK_01,2026-01-01,11:39:00,LFA1,ERDAT,,2026-01-01,2026-01-01T11:39:00+09:00,
1,KRED,V101419,9961388932,AP_CLERK_01,2026-01-01,11:39:00,LFA1,LAND1,,KOR,2026-01-01T11:39:00+09:00,
1,KRED,V101419,9961388932,AP_CLERK_01,2026-01-01,11:39:00,LFA1,ZTERM,,Z045,2026-01-01T11:39:00+09:00,
1,KRED,V100531,6281181319,AP_CLERK_01,2025-07-04,18:07:00,LFB1,SPERR,X,,2025-07-04T18:07:00+09:00,
1,KRED,V100531,6281181319,AP_CLERK_01,2025-07-04,18:07:00,LFB1,ZTERM,Z045,Z001,2025-07-04T18:07:00+09:00,
1,KRED,V100162,4770021199,AP_CLERK_01,2025-06-04,13:35:00,LFB1,SPERR,X,,2025-06-04T13:35:00+09:00,
1,KRED,V100162,4770021199,AP_CLERK_01,2025-06-04,13:35:00,LFB1,ZTERM,Z002,Z002,2025-06-04T13:35:00+09:00,
1,KRED,V101209,5746974344,USER_02,2025-01-05,18:23:00,LFA1,ZTERM,Z045,Z001,2025-01-05T18:23:00+09:00,
1,KRED,V101209,5746974344,USER_02,2025-01-05,18:23:00,LFA1,AKONT,210000,210010,2025-01-05T18:23:00+09:00,
1,KRED,V101209,5746974344,USER_02,2025-01-05,18:23:00,LFA1,STRAS,Old Address,New Address 444,2025-01-05T18:23:00+09:00,
1,KRED,V101405,5751081651,AP_CLERK_01,2025-02-21,01:51:00,LFB1,SPERR,X,,2025-02-21T01:51:00+09:00,
1,KRED,V101405,5751081651,AP_CLERK_01,2025-02-21,01:51:00,LFB1,ZTERM,Z002,Z045,2025-02-21T01:51:00+09:00,
1,KRED,V101021,2661104447,AR_CLERK_02,2025-03-09,04:50:00,LFA1,ERDAT,,2025-03-09,2025-03-09T04:50:00+09:00,
1,KRED,V101021,2661104447,AR_CLERK_02,2025-03-09,04:50:00,LFA1,LAND1,,USA,2025-03-09T04:50:00+09:00,
1,KRED,V101021,2661104447,AR_CLERK_02,2025-03-09,04:50:00,LFA1,ZTERM,,Z002,2025-03-09T04:50:00+09:00,
1,KRED,V100263,3283505045,AP_CLERK_01,2025-11-15,18:01:00,LFB1,SPERR,X,,2025-11-15T18:01:00+09:00,
1,KRED,V100263,3283505045,AP_CLERK_01,2025-11-15,18:01:00,LFB1,ZTERM,Z045,Z030,2025-11-15T18:01:00+09:00,
1,KRED,V101338,0268073084,ADMIN_FI,2025-04-19,16:27:00,LFA1,ERDAT,,2025-04-19,2025-04-19T16:27:00+09:00,
1,KRED,V101338,0268073084,ADMIN_FI,2025-04-19,16:27:00,LFA1,LAND1,,DEU,2025-04-19T16:27:00+09:00,
1,KRED,V101338,0268073084,ADMIN_FI,2025-04-19,16:27:00,LFA1,ZTERM,,Z001,2025-04-19T16:27:00+09:00,
1,KRED,V100787,3551055297,AP_CLERK_01,2025-04-02,10:22:00,LFB1,SPERR,X,,2025-04-02T10:22:00+09:00,
1,KRED,V100787,3551055297,AP_CLERK_01,2025-04-02,10:22:00,LFB1,ZTERM,Z045,Z030,2025-04-02T10:22:00+09:00,
1,KRED,V100215,1234108999,USER_03,2025-08-24,13:34:00,LFA1,ERDAT,,2025-08-24,2025-08-24T13:34:00+09:00,
1,KRED,V100215,1234108999,USER_03,2025-08-24,13:34:00,LFA1,LAND1,,JPN,2025-08-24T13:34:00+09:00,
1,KRED,V100215,1234108999,USER_03,2025-08-24,13:34:00,LFA1,ZTERM,,Z002,2025-08-24T13:34:00+09:00,
1,KRED,V100013,7716301524,ADMIN_FI,2025-08-03,14:25:00,LFA1,ERDAT,,2025-08-03,2025-08-03T14:25:00+09:00,
1,KRED,V100013,7716301524,ADMIN_FI,2025-08-03,14:25:00,LFA1,LAND1,,KOR,2025-08-03T14:25:00+09:00,
1,KRED,V100013,7716301524,ADMIN_FI,2025-08-03,14:25:00,LFA1,ZTERM,,Z001,2025-08-03T14:25:00+09:00,
1,KRED,V101412,8449542506,ADMIN_FI,2025-02-27,05:39:00,LFB1,SPERR,X,,2025-02-27T05:39:00+09:00,
